gameId,gameName,date,teamA_code,teamB_code,period,timeRemaining,scoreA,scoreB,orgId,teamCode,personId,firstName,lastName,uniformNumber,actionCode,actionText,made,pts,shotType,x,y
125521,29454-A-1,,URU,ARG,Q4,9:36,45,62,155,URU,407401,Lucas,Orozco,22,FT,1st of 2 free throws made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q4,9:36,45,62,155,URU,407401,Lucas,Orozco,22,FT,2nd of 2 free throws missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q4,9:19,45,62,14,ARG,409021,Elias,Torrens,7,P2,"2PtsFG under the basket, jump shot missed",0,2,2PT,142,31
125521,29454-A-1,,URU,ARG,Q4,9:14,45,64,14,ARG,409021,Elias,Torrens,7,P2,"2PtsFG under the basket, jump shot made",1,2,2PT,139,32
125521,29454-A-1,,URU,ARG,Q4,8:56,47,64,155,URU,407936,Lautaro,Gomez,10,P2,"2PtsFG under the basket, layup made",1,2,2PT,151,37
125521,29454-A-1,,URU,ARG,Q4,8:36,47,64,14,ARG,408872,Bautista,Gobetti,6,P3,3pt jump shot missed,0,3,3PT,265,94
125521,29454-A-1,,URU,ARG,Q4,8:18,49,64,155,URU,408047,Thiago,Michaelsson,21,P2,2pt turnaround jump shot made,1,2,2PT,175,42
125521,29454-A-1,,URU,ARG,Q4,8:05,49,67,14,ARG,408857,Joaquin,Caumo,10,P3,3pt fadeaway jump shot made,1,3,3PT,155,166
125521,29454-A-1,,URU,ARG,Q4,7:43,49,67,155,URU,407401,Lucas,Orozco,22,P2,"2PtsFG under the basket, layup missed",0,2,2PT,147,33
125521,29454-A-1,,URU,ARG,Q4,7:35,49,69,14,ARG,409023,Joaquin,Celiz,9,P2,"2PtsFG under the basket, fast break, layup made",1,2,2PT,137,39
125521,29454-A-1,,URU,ARG,Q4,7:14,49,72,14,ARG,408870,Gonzalo,Aman,8,P3,3pt jump shot made,1,3,3PT,262,83
125521,29454-A-1,,URU,ARG,Q4,6:45,49,72,155,URU,407401,Lucas,Orozco,22,P2,layup missed,0,2,2PT,112,20
125521,29454-A-1,,URU,ARG,Q4,6:38,49,72,14,ARG,408857,Joaquin,Caumo,10,P3,3pt jump shot missed,0,3,3PT,29,117
125521,29454-A-1,,URU,ARG,Q4,6:34,49,74,14,ARG,409021,Elias,Torrens,7,P2,"2PtsFG under the basket, reverse lay-up made",1,2,2PT,124,23
125521,29454-A-1,,URU,ARG,Q4,6:01,51,74,155,URU,408047,Thiago,Michaelsson,21,P2,2pt turnaround jump shot made,1,2,2PT,133,56
125521,29454-A-1,,URU,ARG,Q4,5:46,51,74,14,ARG,408870,Gonzalo,Aman,8,P3,3pt step back jump shot missed,0,3,3PT,66,150
125521,29454-A-1,,URU,ARG,Q4,5:29,51,74,155,URU,407935,Gabriel,Venet,15,P2,2pt floating jump shot missed,0,2,2PT,110,114
125521,29454-A-1,,URU,ARG,Q4,5:11,51,76,14,ARG,408857,Joaquin,Caumo,10,P2,"2PtsFG under the basket, layup made",1,2,2PT,134,36
125521,29454-A-1,,URU,ARG,Q4,5:11,51,77,14,ARG,408857,Joaquin,Caumo,10,FT,1st free throw made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q4,4:52,51,77,155,URU,407935,Gabriel,Venet,15,P2,"2PtsFG under the basket, layup missed",0,2,2PT,127,32
125521,29454-A-1,,URU,ARG,Q4,4:43,51,79,14,ARG,409021,Elias,Torrens,7,P2,"2PtsFG under the basket, turnaround jump shot made",1,2,2PT,127,34
125521,29454-A-1,,URU,ARG,Q4,4:28,51,79,155,URU,375744,Manuel,Pastrana,4,P3,3pt jump shot missed,0,3,3PT,249,109
125521,29454-A-1,,URU,ARG,Q4,4:23,51,79,155,URU,408047,Thiago,Michaelsson,21,FT,1st of 2 free throws missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q4,4:23,51,79,155,URU,408047,Thiago,Michaelsson,21,FT,2nd of 2 free throws missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q4,4:13,51,79,14,ARG,355917,Facundo,Cornalis,5,P3,3pt fadeaway jump shot missed,0,3,3PT,126,180
125521,29454-A-1,,URU,ARG,Q4,4:09,51,81,14,ARG,408860,Mateo,Fessia,12,P2,"2PtsFG under the basket, hook shot made",1,2,2PT,149,23
125521,29454-A-1,,URU,ARG,Q4,3:46,53,81,155,URU,407935,Gabriel,Venet,15,P2,"2PtsFG under the basket, layup made",1,2,2PT,161,22
125521,29454-A-1,,URU,ARG,Q4,3:31,53,83,14,ARG,408857,Joaquin,Caumo,10,P2,2pt floating jump shot made,1,2,2PT,79,91
125521,29454-A-1,,URU,ARG,Q4,3:05,53,83,155,URU,407935,Gabriel,Venet,15,P2,layup missed,0,2,2PT,112,42
125521,29454-A-1,,URU,ARG,Q4,2:52,53,83,14,ARG,355917,Facundo,Cornalis,5,P3,3pt jump shot missed,0,3,3PT,254,111
125521,29454-A-1,,URU,ARG,Q4,2:26,55,83,155,URU,324131,Federico,Cruz,8,P2,"2PtsFG under the basket, layup made",1,2,2PT,143,38
125521,29454-A-1,,URU,ARG,Q4,2:14,55,86,14,ARG,408857,Joaquin,Caumo,10,P3,3pt floating jump shot made,1,3,3PT,98,176
125521,29454-A-1,,URU,ARG,Q4,2:09,55,86,14,ARG,408857,Joaquin,Caumo,10,FT,1st free throw missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q4,1:57,55,86,14,ARG,408857,Joaquin,Caumo,10,P2,"2PtsFG under the basket, points after turnover, layup missed",0,2,2PT,137,22
