Fecha,Condicion equipos,Equipo,Rival,Número Camiseta,Apellido,Nombre,Nombre completo,Segundos jugados,Tiempo jugado (mm:ss),Puntos,T2A,T2I,T2%,T3A,T3I,T3%,T1A,T1I,T1%,DReb,OReb,TReb,Asistencias,Recuperos,Perdidas,Tapones cometidos,Tapones recibidos,Faltas Cometidas,Faltas Recibidas,Valoracion,Ganado,Estadio,IdPartido,Etapa,Titular,Plus/minus
11/12/2025,VISITANTE,ECU,ARG,10,ZAMBRANO,ALHAN,"ZAMBRANO, A.",820,13:40,3,0,1,0.0,0,2,0.0,3,3,100.0,1,0,1,0,0,2,0,0,0,1,-1,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,-36
11/12/2025,VISITANTE,ECU,ARG,12,MANJARRES,RODRIGO,"MANJARRES, R.",743,12:23,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,-27
11/12/2025,VISITANTE,ECU,ARG,13,MINA,JAHIR,"MINA, J.",718,11:58,1,0,1,0.0,0,3,0.0,1,2,50.0,0,0,0,2,0,1,0,0,1,1,-3,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,-26
11/12/2025,VISITANTE,ECU,ARG,14,NOBOA,FELIPE,"NOBOA, F.",1388,23:8,8,1,4,25.0,2,4,50.0,0,0,0.0,0,1,1,0,3,4,0,0,0,0,3,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,1,-47
11/12/2025,VISITANTE,ECU,ARG,15,IBARRA,ISMAEL,"IBARRA, I.",1006,16:46,0,0,1,0.0,0,0,0.0,0,0,0.0,3,0,3,0,0,1,2,0,4,0,3,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,-52
11/12/2025,VISITANTE,ECU,ARG,23,QUIÑONEZ,ADAIR,"QUIÑONEZ, A.",1176,19:36,4,0,2,0.0,1,2,50.0,1,2,50.0,4,0,4,1,0,4,1,0,3,1,2,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,1,-29
11/12/2025,VISITANTE,ECU,ARG,32,COROZO,JEREMY,"COROZO, J.",1173,19:33,2,1,1,100.0,0,2,0.0,0,0,0.0,4,0,4,0,0,2,0,0,0,0,2,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,-49
11/12/2025,VISITANTE,ECU,ARG,33,REYES,DEIVIS,"REYES, D.",654,10:54,0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,1,1,2,0,0,1,0,-6,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,-21
11/12/2025,VISITANTE,ECU,ARG,48,VARGAS,LHEYDER,"VARGAS, L.",614,10:14,2,1,1,100.0,0,3,0.0,0,0,0.0,0,0,0,0,0,2,0,0,2,0,-3,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,-24
12/12/2025,LOCAL,URU,ECU,0,ABAL,TOMAS,"ABAL, T.",1260,21:0,17,1,1,100.0,4,7,57.1,3,3,100.0,1,0,1,3,1,1,0,0,3,2,18,1,"Estadio Primero de Marzo, Asunción",125525,Grupo A,0,9
