Fecha,Condicion equipos,Equipo,Rival,Número Camiseta,Apellido,Nombre,Nombre completo,Segundos jugados,Tiempo jugado (mm:ss),Puntos,T2A,T2I,T2%,T3A,T3I,T3%,T1A,T1I,T1%,DReb,OReb,TReb,Asistencias,Recuperos,Perdidas,Tapones cometidos,Tapones recibidos,Faltas Cometidas,Faltas Recibidas,Valoracion,Ganado,Estadio,IdPartido,Etapa,Titular,Plus/minus
01/06/2026,VISITANTE,PUR,DOM,11,PIZARRO,JESUS,"PIZARRO, J.",663,11:3,0,0,1,0.0,0,1,0.0,0,0,0.0,2,2,4,0,1,0,0,0,0,0,3,0,"Domo de la Feria, León, México",130885,Grupo B,0,-3
01/06/2026,VISITANTE,PUR,DOM,10,CANDELARIA,DAVEY,"CANDELARIA, D.",545,9:5,2,1,1,100.0,0,2,0.0,0,0,0.0,3,0,3,0,0,1,0,0,1,0,2,0,"Domo de la Feria, León, México",130885,Grupo B,0,-8
01/06/2026,VISITANTE,PUR,DOM,3,FUENTES,MYLES,"FUENTES, M.",1506,25:6,9,1,5,20.0,2,5,40.0,1,2,50.0,1,2,3,1,0,2,0,0,1,1,3,0,"Domo de la Feria, León, México",130885,Grupo B,1,-21
01/06/2026,VISITANTE,PUR,DOM,2,PAGAN,DEREK,"PAGAN, D.",808,13:28,2,1,2,50.0,0,3,0.0,0,0,0.0,2,1,3,0,0,1,0,0,1,0,0,0,"Domo de la Feria, León, México",130885,Grupo B,0,1
01/06/2026,VISITANTE,PUR,DOM,1,ROCA,GUSTAVO,"ROCA, G.",982,16:22,3,1,4,25.0,0,4,0.0,1,4,25.0,2,2,4,6,1,5,0,0,2,2,-1,0,"Domo de la Feria, León, México",130885,Grupo B,0,-16
01/06/2026,VISITANTE,PUR,DOM,0,ROSARIO,ANDREW,"ROSARIO, A.",1292,21:32,13,2,4,50.0,3,8,37.5,0,1,0.0,2,1,3,1,3,1,0,0,4,0,11,0,"Domo de la Feria, León, México",130885,Grupo B,0,-7
01/06/2026,LOCAL,VEN,CAN,30,BENITEZ,LEONARDO,"BENITEZ, L.",726,12:6,0,0,3,0.0,0,0,0.0,0,2,0.0,2,0,2,1,1,1,0,0,3,3,-2,0,"Domo de la Feria, León, México",130884,Grupo B,0,-21
01/06/2026,LOCAL,VEN,CAN,26,SOTO,DIEGO,"SOTO, D.",802,13:22,4,1,7,14.3,0,1,0.0,2,3,66.7,1,0,1,1,2,3,0,0,2,3,-3,0,"Domo de la Feria, León, México",130884,Grupo B,1,-24
01/06/2026,LOCAL,VEN,CAN,23,NIÑO,SAMUEL,"NIÑO, S.",1438,23:58,6,1,4,25.0,0,1,0.0,4,6,66.7,1,2,3,1,2,3,0,0,5,4,3,0,"Domo de la Feria, León, México",130884,Grupo B,0,-32
01/06/2026,LOCAL,VEN,CAN,21,SANCHEZ,YEFERSON,"SANCHEZ, Y.",751,12:31,4,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,1,0,1,0,0,0,0,4,0,"Domo de la Feria, León, México",130884,Grupo B,0,-21
